f8-1;0.03;62;63;1
f8-2;0.03;71;62;1
f8-3;0.04;59;127;2
f8-4;0.03;68;129;2
f8-5;0.04;153;77;4
f8-6;0.02;165;77;4
f8-7;0.03;164;126;5
f8-8;0.04;151;187;6
f8-9;0.04;256;193;11
f8-10;0.02;264;193;11
f8-11;0.02;209;73;7
f8-12;0.02;256;78;9
f8-13;0.02;261;70;9
f8-14;0.03;314;69;12
f8-15;0.03;319;70;12
f8-16;0.04;311;192;14
f8-17;0.02;309;146;13
f8-18;0.03;369;197;16
f8-19;0.03;327;237;59
f8-20;0.03;389;142;15
f8-21;0.03;381;131;15
f8-22;0.03;581;60;20
f8-23;0.03;566;186;22
f8-24;0.03;570;190;22
f8-25;0.03;642;65;23
f8-26;0.03;624;80;23
f8-27;0.02;623;195;25
f8-28;0.03;638;180;25
f8-29;0.04;620;144;24
f8-30;0.03;699;69;26
f8-31;0.04;702;191;28
f8-32;0.02;637;226;73
f8-33;0.02;625;226;73
f8-34;0.02;844;63;29
f8-35;0.02;840;132;30
f8-36;0.04;841;134;30
f8-37;0.03;827;180;31
f8-38;0.04;831;190;31
f8-39;0.02;936;180;36
f8-40;0.04;947;147;35
f8-41;0.03;1003;61;37
f8-42;0.02;1061;135;41
f8-43;0.02;1062;129;41
f8-44;0.04;1096;197;44
f8-45;0.02;1116;129;43
f8-46;0.03;1111;147;43
f8-47;0.03;1181;147;46
f8-48;0.02;1196;134;46
f8-49;0.04;1182;188;47
f8-50;0.02;78;228;48
f8-51;0.04;65;304;49
f8-52;0.02;153;309;52
f8-53;0.03;149;372;53
f8-54;0.04;64;425;102
f8-55;0.04;272;365;58
f8-56;0.02;272;370;58
f8-57;0.04;153;411;105
f8-58;0.03;215;234;54
f8-59;0.03;218;295;55
f8-60;0.04;256;233;56
f8-61;0.03;315;372;61
f8-62;0.04;320;355;61
f8-63;0.04;379;233;62
f8-64;0.03;373;246;62
f8-65;0.03;371;367;64
f8-66;0.04;370;356;64
f8-67;0.02;326;420;113
f8-68;0.04;312;427;113
f8-69;0.02;476;307;66
f8-70;0.02;370;410;116
f8-71;0.02;574;358;72
f8-72;0.04;462;424;118
f8-73;0.04;455;415;118
f8-74;0.02;529;242;68
f8-75;0.02;528;308;69
f8-76;0.04;520;291;69
f8-77;0.04;571;306;71
f8-78;0.02;624;362;75
f8-79;0.03;575;423;121
f8-80;0.04;574;424;121
f8-81;0.02;683;368;78
f8-82;0.04;701;360;78
f8-83;0.04;698;300;77
f8-84;0.03;694;291;77
f8-85;0.03;786;307;80
f8-86;0.04;771;290;80
f8-87;0.04;776;359;81
f8-88;0.04;788;355;81
f8-89;0.04;692;424;127
f8-90;0.04;698;415;127
f8-91;0.04;844;352;84
f8-92;0.03;839;307;83
f8-93;0.04;829;311;83
f8-94;0.02;893;310;86
f8-95;0.02;876;371;87
f8-96;0.04;837;415;131
f8-97;0.03;837;409;131
f8-98;0.03;887;415;134
f8-99;0.03;948;291;89
f8-100;0.03;997;246;91
f8-101;0.04;996;225;91
f8-102;0.02;1011;358;93
f8-103;0.02;1001;365;93
f8-104;0.04;1052;228;94
f8-105;0.04;1102;351;98
f8-106;0.03;1113;372;98
f8-107;0.03;1006;418;139
f8-108;0.04;1098;301;97
f8-109;0.04;1187;234;99
f8-110;0.03;1185;247;99
f8-111;0.04;1187;312;100
